complaint_text,department,urgency
street light not working from many days,electricity,medium
power cut happening daily in our area,electricity,high
garbage not collected and foul smell spreading,municipal,high
sewage water overflow near homes,municipal,high
road has large potholes causing accidents,roads,high
water supply interrupted for two days,water,high
illegal construction blocking lane,municipal,medium
electric pole sparks at night,electricity,high
drainage blocked due to waste,municipal,medium
no drinking water in locality,water,high
